Meal,Station,Food Name,Ounces,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Calcium,Iron,Potassium,is_vegetarian,is_vegan,is_halal,allergens
Breakfast,Apple Fritter,Apple Fritter,1.67,10,0.05g,0.01g,0g,0.12mg,2.25mg,2.25g,0.19g,1.61g,0.05g,2.86mg,0.03mg,1.32mg,True,False,True,
Breakfast,Mini Croissant,Mini Croissant,1.04,103,5.47g,3.42g,0g,20.51mg,123.07mg,10.94g,0.69g,1.37g,2.05g,5.47mg,0.69mg,21.19mg,True,False,True,
Breakfast,Cinnamon Swirl Danish,Cinnamon Swirl Danish,1.5,191,11.16g,5.02g,0g,5.58mg,61.37mg,22.32g,0.53g,8.93g,2.23g,0mg,1.2mg,30.13mg,True,False,True,"gluten,wheat,dairy,eggs"
Breakfast,Chocolate Cinnamon Cream Cheese Coffee Cake,Chocolate Cinnamon Cream Cheese Coffee Cake,2.23,227,11.89g,3.02g,0.1g,38.24mg,209.53mg,26.64g,0.74g,16.95g,2.79g,9.29mg,0.35mg,32.65mg,True,False,True,"soy,gluten,wheat,sesame,dairy,eggs"
Lunch,Prairie Midwest,Prairie Midwest,0.1,0,0g,0g,0g,0mg,0.11mg,0g,0g,0g,0g,0.08mg,0mg,0mg,False,False,False,
Lunch,Midwest Pepper Steak,Midwest Pepper Steak,3.7,310,28.34g,3.46g,0g,24.53mg,245.58mg,3.54g,0.86g,1.89g,8.21g,9.4mg,0.95mg,202.13mg,False,False,False,"soy,gluten,wheat"
Lunch,Mashed Potatoes,Mashed Potatoes,4,102,4.77g,2.91g,0.05g,12.95mg,399.67mg,13.61g,2.21g,0.61g,1.81g,20.45mg,1.22mg,236.75mg,True,False,True,dairy
Lunch,Peppered Beyond Steak,Peppered Beyond Steak,4.59,37,1.65g,0.14g,0g,0mg,313.09mg,4.77g,1.17g,2.55g,1.09g,10.09mg,0.26mg,105.79mg,True,True,False,"soy,gluten,wheat"
Lunch,Wisconsin Beer Brats,Wisconsin Beer Brats,8.65,851,46.45g,16.45g,0.02g,82.38mg,1458.44mg,83.33g,2.38g,16.52g,24.12g,55.32mg,1.69mg,120.3mg,False,False,False,"soy,gluten,wheat,sesame,dairy,eggs"
Lunch,Meatless Bratwurst Sandwich,Meatless Bratwurst Sandwich,8.15,506,16.09g,6.33g,0.02g,16.58mg,719.65mg,78.28g,2.38g,13.48g,10.94g,24.34mg,1.02mg,120.28mg,True,False,False,"soy,gluten,wheat,sesame,dairy,eggs"
Lunch,House-Made Potato Chippers,House-Made Potato Chippers,0.83,45,1.93g,0.41g,0g,0mg,63.32mg,5.23g,0.55g,0.28g,0.55g,2.75mg,0.17mg,88.09mg,True,True,False,soy
Lunch,Detroit-Style Pepperoni Pizza,Detroit-Style Pepperoni Pizza,4.08,364,24.54g,11.11g,0g,48.32mg,592.13mg,23.67g,0.88g,0.47g,11.21g,212.23mg,0.47mg,57.44mg,False,False,False,"gluten,wheat,dairy"
Lunch,Tillamook Ricotta & Fontina Pizza,Tillamook Ricotta & Fontina Pizza,4.17,305,18.74g,3.71g,0g,16.78mg,402.78mg,24.82g,1.35g,1.24g,8.05g,168.08mg,0.74mg,146.74mg,True,False,False,"gluten,wheat,dairy"
Lunch,Garlic Chicken Pizza,Garlic Chicken Pizza,3.94,312,17.87g,4.21g,0g,21.23mg,391.66mg,25.24g,0.95g,0.89g,10.58g,145.63mg,0.46mg,79.64mg,False,False,False,"gluten,wheat,dairy"
Lunch,Bruin Burger,Bruin Burger,8.61,440,18.79g,5.69g,0g,77.27mg,700.01mg,35.5g,2.24g,5.56g,33.45g,95.43mg,5.59mg,576.89mg,False,False,True,"soy,gluten,wheat,sesame,eggs"
Lunch,Bruin Cheeseburger,Bruin Cheeseburger,9.14,492,23.23g,8.62g,0g,88.37mg,1325.23mg,36.23g,2.25g,5.57g,36.42g,95.65mg,5.59mg,576.9mg,False,False,True,"soy,gluten,wheat,sesame,dairy,eggs"
Lunch,French Fries,French Fries,4,163,4.04g,1.35g,0g,0mg,377.66mg,26.98g,2.7g,1.35g,2.7g,0mg,0.49mg,391.16mg,True,True,False,soy
Lunch,LA Hot Chicken Sandwich,LA Hot Chicken Sandwich,9.16,538,24.95g,6.46g,0g,47.9mg,1670.55mg,59.01g,2.78g,13.11g,22.69g,97.25mg,3.5mg,357.57mg,False,False,False,"soy,gluten,wheat,sesame,dairy,eggs"
Lunch,OMG Burger,OMG Burger,11.52,668,30.92g,8.95g,0g,105.95mg,1299.34mg,55.31g,3.33g,6.82g,38.92g,108.95mg,6.11mg,625.93mg,False,False,False,"soy,gluten,wheat,sesame,dairy,eggs"
Lunch,St. Louis Pulled Pork Sandwich,St. Louis Pulled Pork Sandwich,10.74,727,51.84g,9.56g,0g,111.53mg,1259.82mg,42.92g,3.65g,15.07g,21.4g,74.52mg,2.47mg,582.5mg,False,False,False,"soy,gluten,wheat,sesame,dairy,eggs"
Lunch,Beyond Burger,Beyond Burger,7.63,394,16.32g,2.08g,11.03g,0mg,667.91mg,39.35g,1.56g,4.82g,26.46g,130.2mg,7.2mg,446.37mg,True,True,False,"soy,gluten,wheat,sesame"
Lunch,Minnesota Hunters Chili,Minnesota Hunters Chili,2.19,1012,75.64g,28.63g,4.45g,267.62mg,2188.13mg,46.01g,1.71g,8.94g,66.15g,102.46mg,8.01mg,1285.84mg,False,False,False,
Lunch,Chicken Noodle Soup,Chicken Noodle Soup,6.01,178,4.29g,0.82g,0g,30.28mg,167.3mg,27.04g,0.83g,19.84g,8.82g,22.09mg,0.87mg,253.83mg,False,False,False,
Lunch,Creamy Tomato Basil Soup,Creamy Tomato Basil Soup,6.05,133,9.26g,6.05g,0g,37.55mg,229.09mg,10.11g,2.14g,5.45g,1.85g,21.36mg,2.01mg,517.29mg,True,False,True,dairy
Lunch,Pan Roasted Mushrooms with Onions,Pan Roasted Mushrooms with Onions,2.8,36,1.51g,0.13g,0g,0mg,107.2mg,4.4g,1.05g,2.03g,2.07g,9.55mg,0.36mg,212.47mg,True,True,False,
Lunch,Buttered Corn Rice,Buttered Corn Rice,3.34,159,5.34g,2.36g,0g,9.02mg,198.39mg,24.31g,0.84g,1.14g,2.46g,22.55mg,0.97mg,72.11mg,True,False,False,dairy
Lunch,Roasted Broccoli,Roasted Broccoli,2.17,61,4.92g,0.37g,0g,0mg,74.98mg,2.93g,1.33g,0.84g,1.69g,27.66mg,0.51mg,184.97mg,True,True,False,
Lunch,Garlicky Green Beans,Garlicky Green Beans,2.22,29,0.38g,0.05g,0g,0mg,7.73mg,5.85g,1.65g,1.92g,1.4g,31.29mg,0.68mg,142.65mg,True,True,False,
Lunch,Ranch Dressing,Ranch Dressing,1.01,120,12.63g,1.78g,0g,11.89mg,202.9mg,0.62g,0g,0.62g,0.43g,15.09mg,0.01mg,19.65mg,True,False,False,"soy,dairy,eggs"
Lunch,Caesar Salad Dressing,Caesar Salad Dressing,2,320,34.04g,4.86g,0g,30.43mg,271.77mg,0.88g,0.02g,0.19g,1.1g,2.77mg,0.14mg,29.43mg,False,False,False,"fish,soy,dairy,eggs"
Lunch,Grilled Rosemary Chicken Breast,Grilled Rosemary Chicken Breast,4,165,3.34g,0.02g,0g,65.1mg,86.9mg,0.27g,0.05g,0.05g,26.08g,1.57mg,0.02mg,3.67mg,False,False,False,
Lunch,Watermelon,Watermelon,1,9,0.04g,0.01g,0g,0mg,0.28mg,2.13g,0.11g,1.75g,0.17g,1.97mg,0.07mg,31.58mg,True,True,False,
Lunch,Pineapple,Pineapple,1,15,0.03g,0g,0g,0mg,0.28mg,3.7g,0.39g,2.78g,0.15g,3.67mg,0.08mg,30.74mg,True,True,False,
Lunch,Cantaloupe,Cantaloupe,1,10,0.05g,0.01g,0g,0mg,4.51mg,2.3g,0.25g,2.22g,0.24g,2.54mg,0.06mg,75.29mg,True,True,False,
Lunch,Chocolate Cupcake,Chocolate Cupcake,3.69,375,23.49g,13.06g,0.02g,39.23mg,251.41mg,37.53g,2.06g,20.52g,3.91g,13.76mg,1.49mg,204.27mg,True,False,True,"soy,gluten,wheat,sesame,dairy,eggs"
Lunch,Classic Chocolate Chip Cookie,Classic Chocolate Chip Cookie,1.3,162,7.38g,2.96g,0g,0mg,134.7mg,22.79g,0.87g,12.25g,2.31g,3.16mg,1.03mg,25.44mg,True,True,True,"soy,gluten,wheat,alcohol"
Lunch,Pumpkin Pie,Pumpkin Pie,2.37,123,2.7g,1.31g,0g,25.31mg,72.66mg,22.32g,0.68g,20.56g,2.8g,77.99mg,0.19mg,148.96mg,True,False,False,"dairy,eggs"
Lunch,Blondie w/ Walnuts,Blondie w/ Walnuts,1.75,219,12.21g,6.29g,0g,38.58mg,50.89mg,24.74g,0.65g,17.07g,3.22g,8.47mg,0.66mg,37.47mg,True,False,False,"gluten,wheat,dairy,eggs,alcohol"
Lunch,Pumpkin Mousse,Pumpkin Mousse,3.98,276,17.14g,11.28g,0g,70.05mg,82.83mg,25.99g,1.07g,23.66g,1.47g,14.97mg,0.15mg,162.89mg,True,False,False,dairy
Lunch,Deep Dish Blackout Cake,Deep Dish Blackout Cake,3.42,264,17.39g,10.38g,0.18g,56.24mg,171.95mg,38.43g,3.52g,27.3g,5.09g,50.13mg,3.11mg,350.59mg,True,False,False,"soy,gluten,peanuts,wheat,sesame,dairy,eggs,alcohol"
Lunch,Yogurt Bar,Yogurt Bar,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,False,"dairy,soy,gluten,wheat"
Dinner,Prairie Midwest,Prairie Midwest,0.1,0,0g,0g,0g,0mg,0.11mg,0g,0g,0g,0g,0.08mg,0mg,0mg,False,False,False,
Dinner,Honey BBQ Salmon,Honey BBQ Salmon,4.9,247,11.92g,2.4g,0g,40.38mg,5787.97mg,18.89g,0.28g,16.74g,15.16g,15.64mg,0.47mg,296.89mg,False,False,False,fish
Dinner,Corn & Lima Bean Succotash,Corn & Lima Bean Succotash,2.09,63,1.41g,0.21g,0g,0mg,73.78mg,10.24g,2.19g,3.58g,2.21g,14.71mg,0.92mg,153.76mg,True,True,False,
Dinner,Honey BBQ Beyond Beef Tips,Honey BBQ Beyond Beef Tips,4.91,94,2.07g,0.15g,0g,0mg,5747.7mg,18.9g,0.28g,16.75g,0.17g,9.04mg,0.22mg,30.41mg,True,True,False,
Dinner,St. Louis Style Pork Ribs,St. Louis Style Pork Ribs,6.54,396,27.63g,9.58g,0.22g,113.81mg,1580.87mg,4.87g,0.11g,3.61g,31.5g,53.85mg,1.32mg,414.07mg,False,False,False,
Dinner,Oven Roasted Herb Potatoes,Oven Roasted Herb Potatoes,3,101,4.82g,0.37g,0g,0mg,201.81mg,12.84g,1.6g,1.03g,1.57g,12.48mg,0.7mg,363.92mg,True,True,False,
Dinner,Beyond Chicken Tenders,Beyond Chicken Tenders,4,303,15.81g,1.97g,0g,0mg,645.55mg,18.45g,3.95g,2.64g,18.45g,26.35mg,1.31mg,276.67mg,True,True,False,"soy,gluten,wheat"
Dinner,Pepperoni Pizza,Pepperoni Pizza,3.55,324,20.84g,5.22g,0g,21.44mg,552.73mg,23.35g,0.87g,0.41g,8.98g,130.57mg,0.43mg,49.98mg,False,False,False,"gluten,wheat,dairy"
Dinner,Tillamook Ricotta & Fontina Pizza,Tillamook Ricotta & Fontina Pizza,4.17,305,18.74g,3.71g,0g,16.78mg,402.78mg,24.82g,1.35g,1.24g,8.05g,168.08mg,0.74mg,146.74mg,True,False,False,"gluten,wheat,dairy"
Dinner,Garlic Chicken Pizza,Garlic Chicken Pizza,3.94,312,17.87g,4.21g,0g,21.23mg,391.66mg,25.24g,0.95g,0.89g,10.58g,145.63mg,0.46mg,79.64mg,False,False,False,"gluten,wheat,dairy"
Dinner,Bruin Burger,Bruin Burger,8.61,440,18.79g,5.69g,0g,77.27mg,700.01mg,35.5g,2.24g,5.56g,33.45g,95.43mg,5.59mg,576.89mg,False,False,True,"soy,gluten,wheat,sesame,eggs"
Dinner,Bruin Cheeseburger,Bruin Cheeseburger,9.14,492,23.23g,8.62g,0g,88.37mg,1325.23mg,36.23g,2.25g,5.57g,36.42g,95.65mg,5.59mg,576.9mg,False,False,True,"soy,gluten,wheat,sesame,dairy,eggs"
Dinner,LA Hot Chicken Sandwich,LA Hot Chicken Sandwich,9.16,538,24.95g,6.46g,0g,47.9mg,1670.55mg,59.01g,2.78g,13.11g,22.69g,97.25mg,3.5mg,357.57mg,False,False,False,"soy,gluten,wheat,sesame,dairy,eggs"
Dinner,OMG Burger,OMG Burger,11.52,668,30.92g,8.95g,0g,105.95mg,1299.34mg,55.31g,3.33g,6.82g,38.92g,108.95mg,6.11mg,625.93mg,False,False,False,"soy,gluten,wheat,sesame,dairy,eggs"
Dinner,St. Louis Pulled Pork Sandwich,St. Louis Pulled Pork Sandwich,10.74,727,51.84g,9.56g,0g,111.53mg,1259.82mg,42.92g,3.65g,15.07g,21.4g,74.52mg,2.47mg,582.5mg,False,False,False,"soy,gluten,wheat,sesame,dairy,eggs"
Dinner,Beyond Burger,Beyond Burger,7.63,394,16.32g,2.08g,11.03g,0mg,667.91mg,39.35g,1.56g,4.82g,26.46g,130.2mg,7.2mg,446.37mg,True,True,False,"soy,gluten,wheat,sesame"
Dinner,French Fries,French Fries,4,163,4.04g,1.35g,0g,0mg,377.66mg,26.98g,2.7g,1.35g,2.7g,0mg,0.49mg,391.16mg,True,True,False,soy
Dinner,Minnesota Hunters Chili,Minnesota Hunters Chili,2.19,1012,75.64g,28.63g,4.45g,267.62mg,2188.13mg,46.01g,1.71g,8.94g,66.15g,102.46mg,8.01mg,1285.84mg,False,False,False,
Dinner,Chicken Noodle Soup,Chicken Noodle Soup,6.01,178,4.29g,0.82g,0g,30.28mg,167.3mg,27.04g,0.83g,19.84g,8.82g,22.09mg,0.87mg,253.83mg,False,False,False,
Dinner,Creamy Tomato Basil Soup,Creamy Tomato Basil Soup,6.05,133,9.26g,6.05g,0g,37.55mg,229.09mg,10.11g,2.14g,5.45g,1.85g,21.36mg,2.01mg,517.29mg,True,False,True,dairy
Dinner,Pan Roasted Mushrooms with Onions,Pan Roasted Mushrooms with Onions,2.8,36,1.51g,0.13g,0g,0mg,107.2mg,4.4g,1.05g,2.03g,2.07g,9.55mg,0.36mg,212.47mg,True,True,False,
Dinner,Roasted Broccoli,Roasted Broccoli,2.17,61,4.92g,0.37g,0g,0mg,74.98mg,2.93g,1.33g,0.84g,1.69g,27.66mg,0.51mg,184.97mg,True,True,False,
Dinner,Garlicky Green Beans,Garlicky Green Beans,2.22,29,0.38g,0.05g,0g,0mg,7.73mg,5.85g,1.65g,1.92g,1.4g,31.29mg,0.68mg,142.65mg,True,True,False,
Dinner,Buttered Corn Rice,Buttered Corn Rice,3.34,159,5.34g,2.36g,0g,9.02mg,198.39mg,24.31g,0.84g,1.14g,2.46g,22.55mg,0.97mg,72.11mg,True,False,False,dairy
Dinner,Ranch Dressing,Ranch Dressing,1.01,120,12.63g,1.78g,0g,11.89mg,202.9mg,0.62g,0g,0.62g,0.43g,15.09mg,0.01mg,19.65mg,True,False,False,"soy,dairy,eggs"
Dinner,Caesar Salad Dressing,Caesar Salad Dressing,2,320,34.04g,4.86g,0g,30.43mg,271.77mg,0.88g,0.02g,0.19g,1.1g,2.77mg,0.14mg,29.43mg,False,False,False,"fish,soy,dairy,eggs"
Dinner,Grilled Rosemary Chicken Breast,Grilled Rosemary Chicken Breast,4,165,3.34g,0.02g,0g,65.1mg,86.9mg,0.27g,0.05g,0.05g,26.08g,1.57mg,0.02mg,3.67mg,False,False,False,
Dinner,Watermelon,Watermelon,1,9,0.04g,0.01g,0g,0mg,0.28mg,2.13g,0.11g,1.75g,0.17g,1.97mg,0.07mg,31.58mg,True,True,False,
Dinner,Cantaloupe,Cantaloupe,1,10,0.05g,0.01g,0g,0mg,4.51mg,2.3g,0.25g,2.22g,0.24g,2.54mg,0.06mg,75.29mg,True,True,False,
Dinner,Pineapple,Pineapple,1,15,0.03g,0g,0g,0mg,0.28mg,3.7g,0.39g,2.78g,0.15g,3.67mg,0.08mg,30.74mg,True,True,False,
Dinner,Chocolate Cupcake,Chocolate Cupcake,3.69,375,23.49g,13.06g,0.02g,39.23mg,251.41mg,37.53g,2.06g,20.52g,3.91g,13.76mg,1.49mg,204.27mg,True,False,True,"soy,gluten,wheat,sesame,dairy,eggs"
Dinner,Classic Chocolate Chip Cookie,Classic Chocolate Chip Cookie,1.3,162,7.38g,2.96g,0g,0mg,134.7mg,22.79g,0.87g,12.25g,2.31g,3.16mg,1.03mg,25.44mg,True,True,True,"soy,gluten,wheat,alcohol"
Dinner,Pumpkin Pie,Pumpkin Pie,2.37,123,2.7g,1.31g,0g,25.31mg,72.66mg,22.32g,0.68g,20.56g,2.8g,77.99mg,0.19mg,148.96mg,True,False,False,"dairy,eggs"
Dinner,Blondie w/ Walnuts,Blondie w/ Walnuts,1.75,219,12.21g,6.29g,0g,38.58mg,50.89mg,24.74g,0.65g,17.07g,3.22g,8.47mg,0.66mg,37.47mg,True,False,False,"gluten,wheat,dairy,eggs,alcohol"
Dinner,Pumpkin Mousse,Pumpkin Mousse,3.98,276,17.14g,11.28g,0g,70.05mg,82.83mg,25.99g,1.07g,23.66g,1.47g,14.97mg,0.15mg,162.89mg,True,False,False,dairy
Dinner,Deep Dish Blackout Cake,Deep Dish Blackout Cake,3.42,264,17.39g,10.38g,0.18g,56.24mg,171.95mg,38.43g,3.52g,27.3g,5.09g,50.13mg,3.11mg,350.59mg,True,False,False,"soy,gluten,peanuts,wheat,sesame,dairy,eggs,alcohol"
Dinner,Yogurt Bar,Yogurt Bar,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,False,"dairy,soy,gluten,wheat"
