Meal,Station,Food Name,Ounces,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Calcium,Iron,Potassium,is_vegetarian,is_vegan,is_halal,allergens
All Day,PASTRIES & VERRINES,Almond Croissant,3.3,375,17.6g,8.8g,0g,44mg,352mg,45.1g,2.2g,16.5g,7.7g,27.5mg,1.1mg,55mg,True,False,True,"gluten,wheat,dairy,eggs"
All Day,PASTRIES & VERRINES,Chocolate Croissant,2.89,344,18.47g,11.88g,0g,39.58mg,316.65mg,36.94g,2.64g,13.19g,7.92g,31.66mg,2.64mg,50.14mg,True,False,True,"soy,gluten,wheat,dairy,eggs"
All Day,PASTRIES & VERRINES,Cinnamon Raisin Bagel,,271,1.2g,0g,0g,0mg,376.5mg,57.7g,2.4g,8.2g,9.4g,82.4mg,3.1mg,129.4mg,False,False,False,"soy,gluten,wheat"
All Day,PASTRIES & VERRINES,Everything Cheese Bagel,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,False,False,False,"soy,gluten,wheat,sesame,dairy"
All Day,PASTRIES & VERRINES,Everything Jalapeno Cheese Bagel,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,False,False,False,"soy,gluten,wheat,sesame,dairy"
All Day,PASTRIES & VERRINES,Everything Bagels,1.33,111,1.11g,0g,0g,0mg,256.56mg,21.23g,1.33g,1.77g,3.98g,44.24mg,1.28mg,35.39mg,True,True,False,"soy,gluten,wheat,sesame"
All Day,PASTRIES & VERRINES,Bacon Cheddar Chive Scone,4.96,477,31.32g,18.74g,0g,139.32mg,806.78mg,33.72g,1.32g,0.35g,11.73g,64.43mg,0.73mg,120.68mg,True,False,False,"gluten,wheat,dairy,eggs"
All Day,PASTRIES & VERRINES,Eclair,1.95,67,5.52g,3.12g,0g,18.54mg,27.84mg,8.41g,1.45g,5.55g,0.63g,19.03mg,0.45mg,35.52mg,True,False,False,"soy,gluten,peanuts,wheat,sesame,dairy,eggs,alcohol"
All Day,PASTRIES & VERRINES,Triple Chocolate Mousse Verrine,6.2,714,66.78g,43.2g,0.02g,201.53mg,25.99mg,31.82g,3.5g,28.36g,3.72g,70.7mg,2.69mg,360.55mg,True,False,True,"soy,gluten,peanuts,sesame,dairy,eggs"
All Day,PASTRIES & VERRINES,Island Chia Pudding,5.39,317,16.03g,11.44g,0.02g,0.02mg,2.02mg,42.36g,6.26g,33.24g,2.41g,84.96mg,1.36mg,260.89mg,True,True,False,alcohol
All Day,PASTRIES & VERRINES,Croissant,3.55,385,23.82g,14.43g,0g,61.53mg,323.03mg,36.83g,1.14g,6.4g,6.24g,45.94mg,0.4mg,86.01mg,False,False,True,"gluten,wheat,dairy"
All Day,PASTRIES & VERRINES,Banana Walnut Muffin,7.24,808,57.7g,7.1g,0.02g,125.44mg,354.26mg,58.87g,2.3g,36.05g,14.59g,158.21mg,2.71mg,254.22mg,True,False,True,"gluten,wheat,eggs"
All Day,PASTRIES & VERRINES,Blueberry Muffin,6.99,682,44.57g,7.03g,0.02g,127.87mg,354.2mg,59.39g,1.25g,36.37g,9.55g,145.01mg,2.14mg,142.33mg,True,False,True,"gluten,wheat,dairy,eggs"
All Day,PASTRIES & VERRINES,Red Velvet Cake,6.06,890,55.87g,14.46g,0g,109.94mg,547.36mg,85.44g,1.49g,55.85g,9.55g,77.45mg,2.49mg,203.88mg,False,False,False,"gluten,wheat,dairy,eggs,alcohol"
All Day,PASTRIES & VERRINES,Strawberry Hibiscus Lemonade,20,312,0.62g,0.06g,0g,0mg,15.53mg,81.52g,4.14g,74.77g,1.47g,38.72mg,0.91mg,332.71mg,True,True,False,
All Day,PASTRIES & VERRINES,Mango Mint,18.29,350,0.98g,0.26g,0g,0mg,31.1mg,89.68g,6.48g,82.53g,3.21g,150.96mg,7.88mg,514.51mg,True,True,False,
All Day,PASTRIES & VERRINES,Beets Booster,6.02,71,0.31g,0.07g,0g,0mg,51.23mg,17.01g,3.41g,11.34g,1.79g,34.26mg,0.85mg,351.93mg,True,True,False,
All Day,PASTRIES & VERRINES,Greens & More Booster,12.63,136,0.61g,0.11g,0g,0mg,86.24mg,32.76g,3.69g,22.38g,2.69g,77.79mg,1.25mg,725.49mg,True,True,False,
All Day,PASTRIES & VERRINES,Vitamin C Booster,6.09,76,0.31g,0.05g,0g,0mg,4.4mg,19.13g,3.05g,12.51g,1.19g,38.81mg,0.59mg,228.37mg,True,True,False,
All Day,Kombucha on Tap,Pink Lady Apple Kombucha,16.68,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,False,
All Day,Kombucha on Tap,Pomegranate Kombucha,16,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,False,
All Day,Kombucha on Tap,Passion Fruit Tangerine Kombucha,16,0,0,0,0Cholesterol,0,0,0,0,0,0,0,0,0,True,True,False,
All Day,Kombucha on Tap,BUILD AND GO BREAKFAST YOGURT,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,False,"dairy,gluten,wheat"
All Day,Kombucha on Tap,Build and Go Frozen Yogurt,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,False,"dairy,gluten,wheat,eggs,soy"
All Day,Kombucha on Tap,Craft Your Own Salad,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,True,"gluten,wheat,fish,soy,alcohol,eggs,dairy"
All Day,Kombucha on Tap,Craft Your Own Pizza,,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0mg,0mg,0mg,True,True,True,"soy,gluten,wheat,sesame,dairy,eggs,fish"
All Day,Market Entrées,Fresh Fruit Cup,11,139,0.62g,0.09g,0g,0mg,12.47mg,34.88g,3.43g,28.49g,2.18g,30.33mg,0.94mg,517.42mg,True,True,False,
All Day,Market Entrées,Vegan Muesli,12.72,730,36.23g,27.65g,0g,0mg,8.22mg,94.99g,12.94g,43.37g,10.2g,129.06mg,4.4mg,1141.27mg,True,True,False,gluten
All Day,Market Entrées,Bircher Muesli w/ Nuts,8.86,542,14.66g,2.23g,0.05g,7.86mg,33.32mg,87.76g,9.37g,38.79g,20.34g,140.92mg,3.44mg,641.06mg,True,False,False,"gluten,dairy"
All Day,Market Entrées,Spiced Apple Caramel Parfait,15.12,866,24.68g,14.4g,0.09g,72.97mg,250.03mg,141.06g,3.56g,101.21g,21.55g,291.72mg,1.5mg,415.35mg,True,False,False,"gluten,wheat,dairy"
All Day,Market Entrées,Blueberry Strudel Parfait,12.08,462,14.93g,8.7g,0.1g,44.27mg,63.28mg,62.25g,3.87g,35.75g,21.67g,217.56mg,1.54mg,336.72mg,True,False,False,"gluten,wheat,dairy"
All Day,Market Entrées,Cheese & Cracker Protein Box,11.6,872,49.62g,23.02g,0g,296.02mg,837.16mg,85.75g,8.15g,42.28g,31.37g,436.81mg,2.79mg,377.76mg,True,False,False,"soy,gluten,wheat,sesame,dairy,eggs,alcohol"
All Day,Market Entrées,Apple & Peanut Butter Box,9.66,480,32.12g,5.97g,0g,0mg,299.95mg,36.36g,7.34g,24.7g,14.24g,11.23mg,0.96mg,353.86mg,True,True,False,"soy,peanuts"
